# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿,algorithm,run,path_len,reliability,delay_ms,min_bandwidth,reliability_cost,resource_cost,weighted_score
0,Genetic Algorithm (GA),1,3,0.87459745752288,14.530000000000001,696,0.13399154702460156,0.002793633712316162,0.5465063560887964
1,Genetic Algorithm (GA),2,3,0.87459745752288,14.530000000000001,696,0.13399154702460156,0.002793633712316162,0.5465063560887964
2,Genetic Algorithm (GA),3,3,0.87459745752288,14.530000000000001,696,0.13399154702460156,0.002793633712316162,0.5465063560887964
3,Genetic Algorithm (GA),4,3,0.87459745752288,14.530000000000001,696,0.13399154702460156,0.002793633712316162,0.5465063560887964
4,Genetic Algorithm (GA),5,3,0.87459745752288,14.530000000000001,696,0.13399154702460156,0.002793633712316162,0.5465063560887964
5,Particle Swarm Optimization (PSO),1,3,0.87459745752288,14.530000000000001,696,0.13399154702460156,0.002793633712316162,0.5465063560887964
6,Particle Swarm Optimization (PSO),2,3,0.9036497976826319,18.18,711,0.10131338558959552,0.0025163476743296637,0.5571498555501799
7,Particle Swarm Optimization (PSO),3,3,0.87459745752288,14.530000000000001,696,0.13399154702460156,0.002793633712316162,0.5465063560887964
8,Particle Swarm Optimization (PSO),4,3,0.87459745752288,14.530000000000001,696,0.13399154702460156,0.002793633712316162,0.5465063560887964
9,Particle Swarm Optimization (PSO),5,3,0.9036497976826319,18.18,711,0.10131338558959552,0.0025163476743296637,0.5571498555501799
0,Ant Colony Optimization (ACO),1,6,0.7911520852906382,23.68,633,0.23426506004909822,0.005890141179475412,0.4896713388752461
1,Ant Colony Optimization (ACO),2,5,0.7754000506750885,28.87,737,0.2543761883918303,0.004528278609573016,0.517509890843971
2,Ant Colony Optimization (ACO),3,5,0.7067435786454348,30.46,801,0.34708736820077796,0.004543214072546353,0.516054891442504
3,Ant Colony Optimization (ACO),4,4,0.8617106105602875,18.18,569,0.14883578329210645,0.0043711065562139885,0.4950299237998062
4,Ant Colony Optimization (ACO),5,5,0.8373342741445622,23.11,614,0.1775319164824994,0.005363751903363518,0.49876757716202325
5,Artificial Bee Colony (ABC),1,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
6,Artificial Bee Colony (ABC),2,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
7,Artificial Bee Colony (ABC),3,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
8,Artificial Bee Colony (ABC),4,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
9,Artificial Bee Colony (ABC),5,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
0,Simulated Annealing (SA),1,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
1,Simulated Annealing (SA),2,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
2,Simulated Annealing (SA),3,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
3,Simulated Annealing (SA),4,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
4,Simulated Annealing (SA),5,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
5,Variable Neighborhood Search (VNS),1,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
6,Variable Neighborhood Search (VNS),2,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
7,Variable Neighborhood Search (VNS),3,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
8,Variable Neighborhood Search (VNS),4,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
9,Variable Neighborhood Search (VNS),5,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
0,Ant Colony Optimization (ACO),1,6,0.7911520852906382,23.68,633,0.23426506004909822,0.005890141179475412,0.4896713388752461
1,Ant Colony Optimization (ACO),2,5,0.7754000506750885,28.87,737,0.2543761883918303,0.004528278609573016,0.517509890843971
2,Ant Colony Optimization (ACO),3,5,0.7067435786454348,30.46,801,0.34708736820077796,0.004543214072546353,0.516054891442504
3,Ant Colony Optimization (ACO),4,4,0.8617106105602875,18.18,569,0.14883578329210645,0.0043711065562139885,0.4950299237998062
4,Ant Colony Optimization (ACO),5,5,0.8373342741445622,23.11,614,0.1775319164824994,0.005363751903363518,0.49876757716202325
5,Simulated Annealing (SA),1,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
6,Simulated Annealing (SA),2,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
7,Simulated Annealing (SA),3,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
8,Simulated Annealing (SA),4,3,0.8907647363050799,19.22,302,0.11567493092820429,0.004480848921420549,0.41295283775812447
